MAC,IP,Hostname,Tipo,ÚltimaActualización
MAC,IP,Hostname,Tipo,ÚltimaActualización
00:1A:2B:3C:4D:5E,192.168.0.101,Router-01,Router,2025-09-10 08:00
00:1A:2B:3C:4D:5F,192.168.0.102,Router-02,Router,2025-09-10 08:05
00:1A:2B:3C:4D:60,192.168.0.103,Router-03,Router,2025-09-10 08:10
00:1A:2B:3C:4D:61,192.168.0.111,Switch-01,Switch,2025-09-10 08:15
00:1A:2B:3C:4D:62,192.168.0.112,Switch-02,Switch,2025-09-10 08:20
00:1A:2B:3C:4D:63,192.168.0.113,Switch-03,Switch,2025-09-10 08:25
00:1A:2B:3C:4D:64,192.168.0.1,Bastion-01,Bastion,2025-09-10 08:30
00:1A:2B:3C:4D:65,192.168.0.2,Bastion-02,Bastion,2025-09-10 08:35
00:1A:2B:3C:4D:66,192.168.0.104,Router-04,Router,2025-09-10 08:40
00:1A:2B:3C:4D:67,192.168.0.114,Switch-04,Switch,2025-09-10 08:45
